ip,pk_raw_hash,pk_size,pk_sig_algo,subject
45.90.29.44,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.117,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.231,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.215.96,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.175,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.1,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.159,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.209,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.183,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.213.237,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.17,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.16,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
200.25.36.70,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.29.172,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.109,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.68,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.28.176,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.104,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.114,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
207.246.91.188,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.150,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.93,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.214.32,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.212.198,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.30.74,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
23.247.215.10,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
45.90.31.165,3ec71f18cd0909e1ceb5fabe7db58fb326a229d0,256,b'ecdsa-with-SHA384',dns.nextdns.io; 
